N,Time (ms)
2009,16614
2010,16614
2011,16614
2012,16614
2013,16614
2014,16653
2015,16653
2016,16653
2017,17238
2018,16809
2019,16848
2020,17511
2021,17004
2022,16653
2023,16731
2024,16731
2025,16731
2026,16731
2027,16770
2028,16770
2029,16770
2030,16770
2031,16770
2032,16809
2033,16809
2034,16809
2035,16848
2036,16848
2037,16848
2038,16809
2039,16848
2040,16848
2041,16887
2042,16887
2043,16887
2044,16887
2045,16887
2046,16926
2047,16887
2048,16926
2049,16926
2050,16926
2051,16965
2052,16926
2053,17004
2054,17004
2055,17004
2056,16965
2057,17004
2058,17004
2059,17004
2060,17004
2061,17043
2062,17043
2063,17043
2064,17082
2065,17043
2066,17082
2067,17082
2068,17082
2069,17082
2070,17082
2071,17121
2072,17121
2073,17121
2074,17160
2075,17121
2076,17160
2077,17160
2078,17160
2079,17199
2080,17199
2081,17199
2082,17199
2083,17199
2084,17199
2085,17238
2086,17238
2087,17238
2088,17238
2089,17277
2090,17238
2091,17277
2092,17277
2093,17277
2094,17277
2095,17316
2096,17316
2097,17316
2098,17316
2099,17355
2100,34359
2101,17628
2102,17550
2103,17511
2104,17550
2105,17550
2106,17628
2107,17589
2108,17628
2109,17589
2110,17589
2111,17628
2112,17589
2113,17667
2114,17628
2115,17667
2116,17628
2117,17667
2118,17706
2119,17706
2120,17706
2121,17706
2122,17706
2123,17706
2124,17706
2125,17745
2126,17745
2127,17745
2128,17784
2129,17745
2130,17784
2131,17784
2132,17823
2133,17784
2134,17823
2135,17823
2136,17823
2137,17862
2138,17823
2139,17862
2140,17862
2141,17823
2142,17862
2143,17901
2144,17901
2145,17862
2146,17901
2147,17940
2148,17901
2149,17940
2150,17940
2151,17979
2152,17940
2153,17979
2154,17979
2155,17979
2156,18018
2157,17979
2158,18018
2159,18018
2160,18057
2161,18018
2162,18057
2163,18057
2164,18057
2165,18057
2166,18096
2167,18057
2168,18057
2169,18135
2170,18096
2171,18135
2172,18096
2173,18174
2174,18135
2175,18135
2176,18174
2177,18135
2178,18174
2179,18213
2180,19071
2181,18447
2182,18174
2183,18252
2184,18213
2185,18213
2186,18252
2187,18252
2188,18252
2189,18252
2190,18291
2191,18252
2192,18291
2193,18291
2194,18291
2195,18291
2196,18291
2197,18330
2198,18330
2199,18330
2200,18330
2201,18330
2202,18369
2203,18408
2204,18369
2205,18408
2206,18408
2207,18408
2208,18408
2209,18447
2210,18408
2211,18369
2212,18447
